Process_energyconsumption,1Process_energyconsumption,2Process_energyconsumption,Gas_consumption,Molteniron_production,TRTpower_generation,Gas_production,Coalinjection_consumption,Coke_consumption,Amount_of_blast,1BTwind_temperature,2BTwind_temperature,1Coal_ratio,2Coal_ratio,1Coke_ratio,2Coke_ratio,1CO2_contentofgas,2CO2_contentofgas,1TRTGenerationrate,2TRTGenerationrate,Hotmetal_ratio
311.68,313.18,313.18,0,23237,126.587,4015.437,3484.18,7894.24,199.3075,1239,1254,161.4,163.2,305,299.6,21.5,21.7,44.5515,44.5515,85.05
318.17,322.26,322.26,0,23195,125.1122,4063.4797,3561.3,7918.96,200.508,1248,1251,169.7,162.1,304.5,298.8,22.2,22.9,44.6706,44.6706,84.87
311.34,309.93,309.93,0,23430,124.4977,4053.7298,3559.09,7968.33,201.4537,1240,1258,164.3,162.7,306.4,298.5,22.2,23.1,45.9042,45.9042,84.26
306.5,311.09,311.09,0,22654,126.8328,3924.9778,3453.36,7650.23,199.7877,1216,1253,166.4,164.5,300.8,296.6,21.4,23.2,49.6086,49.6086,85.87
323.16,326.61,326.61,0,22836,126.2183,3936.9663,3632.62,7668,200.9392,1252,1250,174.4,167.6,300.7,295,21.4,23,46.6573,46.6573,85.35
330.51,332.08,332.08,0,21617,120.9336,3862.0304,3540.01,7172.09,196.9114,1235,1253,178.2,169.9,298.8,292.3,0,0,46.2872,46.2872,86.22
345.86,349.7,349.7,0,21289,116.6321,3736.3123,3363.61,7196.23,191.7958,1236,1255,173.8,171.7,306.6,290.4,0,0,47.9409,47.9409,85.29
344.41,348.83,348.83,0,21739,124.2519,3831.3962,3239.59,7516.73,196.8575,1230,1235,157.3,167.6,318.7,295,21.9,21.9,49.1551,49.1551,88.6
345.4,346.2,346.2,0,22771,125.1122,3887.6571,3313.27,7932.37,198.7342,1245,1246,152.3,166.7,317.5,299.8,21.9,21.9,46.4495,46.4495,85.92
336.02,335.78,335.78,0,21285,123.0229,3791.1593,3142.26,7382.41,195.902,1220,1228,157.8,167.1,313.4,299.7,21.3,22,49.4059,49.4059,85.84
